disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:613861,Retinitis pigmentosa 59,17,14,17,17,0.0014,0.004
OMIM:615960,Poretti-Boltshauser syndrome,18,16,65,65,0.0014,0.006
OMIM:620065,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",16,11,58,58,0.0014,0.005
OMIM:615155,Steel syndrome,18,10,47,47,0.0014,0.002
OMIM:271630,"Brachyolmia type 1, Toledo type",16,8,78,78,0.0014,0.002
OMIM:620448,"Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting",15,12,81,81,0.0014,0.004
OMIM:210740,Bangstad syndrome,13,7,10,10,0.0014,0.003
OMIM:616111,"Mitochondrial complex III deficiency, nuclear type 9",15,11,28,28,0.0014,0.002
OMIM:130010,"Ehlers-Danlos syndrome, classic type, 2",18,10,66,66,0.0014,0.005
OMIM:616267,Ataxia-oculomotor apraxia 4,15,11,58,58,0.0014,0.009
OMIM:617384,"Hyperphenylalaninemia, MILD, non-bh4-deficient",14,8,42,42,0.0014,0.004
OMIM:619352,"Ataxia, intention tremor, and hypotonia syndrome, childhood-onset",12,8,17,17,0.0014,0.002
OMIM:620712,Polydactyly-macrocephaly syndrome,18,13,23,23,0.0014,0.002
OMIM:617829,"Epileptic encephalopathy, infantile or early childhood, 2",17,14,105,105,0.0014,0.004
OMIM:616921,"Dyskinesia, limb and orofacial, infantile-onset",14,8,46,46,0.0014,0.002
OMIM:613640,"Neuropathy, hereditary sensory and autonomic, type IC",17,9,57,57,0.0014,0.01
OMIM:613668,"Microcephaly, postnatal progressive, with seizures and brain atrophy",15,10,69,69,0.0014,0.028
OMIM:619033,Vissers-Bodmer syndrome,17,16,38,38,0.0014,0.005
OMIM:619966,"Spastic paraplegia 87, autosomal recessive",15,11,70,70,0.0014,0.004
OMIM:302801,"Charcot-Marie-Tooth disease, X-linked recessive, 2",12,8,27,27,0.0014,0.003
OMIM:618808,Intellectual developmental disorder with poor growth and with or without seizures or ataxia,14,8,46,46,0.0014,0.004
OMIM:617938,Developmental and epileptic encephalopathy 62,16,10,69,69,0.0014,0.024
OMIM:614837,Hypogonadotropic hypogonadism 8 with or without anosmia,14,5,28,28,0.0014,0.003
OMIM:184460,Stapes ankylosis with broad thumb and toes,14,8,24,24,0.0014,0.002
OMIM:620417,"Spastic paraplegia 90B, autosomal recessive",18,12,45,45,0.0014,0.004
OMIM:300915,"Microphthalmia, syndromic 13",14,11,26,26,0.0014,0.004
OMIM:607876,"Epilepsy, familial adult myoclonic, 2",14,9,91,91,0.0014,0.002
OMIM:610329,Aicardi-Goutieres syndrome 3,18,14,63,63,0.0014,0.025
OMIM:607682,"Epilepsy, idiopathic generalized, susceptibility to, 9",18,10,120,120,0.0014,0.002
OMIM:609308,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1",17,10,69,69,0.0014,0.01
OMIM:618760,Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements,15,12,78,78,0.0014,0.004
OMIM:617121,Joubert syndrome 28,18,12,47,47,0.0014,0.005
OMIM:618400,"Charcot-Marie-Tooth disease, axonal, type 2EE",17,8,42,42,0.0014,0.003
OMIM:616794,Combined oxidative phosphorylation deficiency 28,16,8,16,16,0.0014,0.002
OMIM:300659,"Intellectual developmental disorder, X-linked 93",12,7,12,12,0.0014,0.005
OMIM:616421,Myoclonic-atonic epilepsy,14,10,67,67,0.0014,0.004
OMIM:171420,Pheochromocytoma-Islet cell tumor syndrome,13,7,22,22,0.0014,0.008
OMIM:601389,"Cervical ribs, sprengel anomaly, anal atresia, and urethral obstruction",13,5,20,20,0.0014,0.003
OMIM:249700,Langer mesomelic dysplasia,18,8,107,107,0.0014,0.002
OMIM:601216,Dental anomalies and short stature,15,12,48,48,0.0014,0.002
OMIM:618221,"Intellectual developmental disorder, autosomal recessive 66",13,11,32,32,0.0014,0.005
OMIM:251950,Mitochondrial myopathy with lactic acidosis,17,12,48,48,0.0014,0.002
OMIM:617270,"Intellectual developmental disorder, autosomal recessive 58",14,10,58,58,0.0014,0.005
OMIM:203780,"Alport syndrome 2, autosomal recessive",14,11,34,34,0.0014,0.005
OMIM:610250,"Spastic paraplegia 31, autosomal dominant",14,10,53,53,0.0014,0.004
OMIM:617113,"Epileptic encephalopathy, early infantile, 43",16,10,105,105,0.0014,0.004
OMIM:618793,Intellectual developmental disorder 62,12,7,12,12,0.0014,0.002
OMIM:619338,"Cataracts, spastic paraparesis, and speech delay",13,10,39,39,0.0014,0.002
OMIM:619489,"Short stature, Dauber-Argente type",15,8,30,30,0.0014,0.002
OMIM:300844,"Intellectual developmental disorder, X-linked 19",14,6,19,19,0.0014,0.005
OMIM:145350,Hypotaurinemic retinal degeneration and cardiomyopathy,13,7,42,42,0.0014,0.002
OMIM:300886,"Intellectual developmental disorder, X-linked, syndromic 32",12,8,19,19,0.0014,0.004
OMIM:619649,Chromosome 16q12 duplication syndrome,12,5,66,66,0.0014,0.002
OMIM:184900,Stiff skin syndrome,13,9,16,16,0.0014,0.003
OMIM:158600,"Spinal muscular atrophy, lower extremity-predominant, 1, autosomal dominant",12,7,30,30,0.0014,0.01
OMIM:619611,Interstitial lung disease 1,13,7,66,66,0.0014,0.006
OMIM:263000,"Interstitial pneumonitis, desquamative, familial",12,7,21,21,0.0014,0.006
OMIM:129600,"Ectopia lentis, familial",18,12,33,33,0.0014,0.002
OMIM:618687,Intellectual developmental disorder with short stature and behavioral abnormalities,14,10,56,56,0.0014,0.004
OMIM:162370,"Neuropathy, congenital, with arthrogryposis multiplex",13,7,44,44,0.0014,0.003
OMIM:618240,"Mitochondrial complex I deficiency, nuclear type 18",16,10,22,22,0.0014,0.002
OMIM:618724,Heyn-Sproul-Jackson syndrome,15,12,24,24,0.0014,0.002
OMIM:605373,Paragangliomas 3,17,7,47,47,0.0014,0.004
OMIM:613855,"Episodic ataxia, type 5",14,10,66,66,0.0014,0.002
OMIM:300406,FG syndrome 3,18,11,23,23,0.0014,0.004
OMIM:619405,"Spinocerebellar ataxia, autosomal recessive 30",17,12,84,84,0.0014,0.01
OMIM:610357,"Spastic paraplegia 30, autosomal recessive",13,10,54,54,0.0014,0.007
OMIM:616040,"Myasthenic syndrome, congenital, 7, presynaptic",17,10,54,54,0.0014,0.003
OMIM:619373,Neurodevelopmental disorder with infantile epileptic spasms,12,9,23,23,0.0014,0.005
OMIM:616083,"Intellectual developmental disorder, autosomal dominant 30",16,10,29,29,0.0014,0.004
OMIM:620135,"Mitochondrial complex I deficiency, nuclear type 39",15,7,12,12,0.0014,0.002
OMIM:619561,Developmental and epileptic encephalopathy 97,18,10,106,106,0.0014,0.005
OMIM:309585,Wilson-Turner syndrome,15,7,30,30,0.0014,0.005
OMIM:312600,"Retinitis pigmentosa 2, X-linked",13,7,78,78,0.0014,0.002
OMIM:619548,"Usmani-Riazuddin syndrome, autosomal recessive",18,15,39,39,0.0014,0.005
OMIM:151623,Li-Fraumeni syndrome,12,5,66,66,0.0014,0.002
OMIM:614898,"Spastic paraplegia 53, autosomal recessive",15,13,51,51,0.0014,0.002
OMIM:615006,Developmental and epileptic encephalopathy 15,15,9,91,91,0.0014,0.003
OMIM:620731,Microphthalmia/coloboma 11,15,9,105,105,0.0014,0.002
OMIM:204100,"Leber congenital amaurosis, type II",16,9,84,84,0.0014,0.003
OMIM:616056,Developmental and epileptic encephalopathy 26,12,6,55,55,0.0014,0.002
OMIM:615220,"Osteogenesis imperfecta, type XV",12,9,21,21,0.0013,0.002
OMIM:214450,"Griscelli syndrome, type 1",12,6,24,24,0.0013,0.008
OMIM:300425,"Autism susceptibility, X-linked 1",12,6,55,55,0.0013,0.005
OMIM:610628,Hypogonadotropic hypogonadism 4 with or without anosmia,14,8,23,23,0.0013,0.003
OMIM:610006,2-Methylbutyryl-Coa dehydrogenase deficiency,12,10,16,16,0.0013,0.002
OMIM:158580,"Neuronopathy, distal hereditary motor, type VIIA",12,9,27,27,0.0013,0.003
OMIM:535000,Leber optic atrophy,12,8,22,22,0.0013,0.002
OMIM:147891,Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension,17,8,80,80,0.0013,0.002
OMIM:616852,"Myopathy, scapulohumeroperoneal",18,10,111,111,0.0013,0.01
OMIM:606895,"Symphalangism, distal, with microdontia, dental pulp stones, and narrowedzygomatic arch",14,11,47,47,0.0013,0.002
OMIM:601042,Dystonia 9,14,12,78,78,0.0013,0.002
OMIM:617352,Mulchandani-Bhoj-Conlin syndrome,18,13,30,30,0.0013,0.002
OMIM:611131,Retinitis pigmentosa 37,12,8,66,66,0.0013,0.002
OMIM:615236,Woods syndrome,17,9,27,27,0.0013,0.004
OMIM:615597,"Congenital disorder of glycosylation, type Ix",16,14,15,15,0.0013,0.004
OMIM:618266,"Pontocerebellar hypoplasia, type 12",13,6,29,29,0.0013,0.002
OMIM:100100,Prune belly syndrome,15,7,16,16,0.0013,0.003
OMIM:608049,"Autism, susceptibility to, 3",13,7,55,55,0.0013,0.005
OMIM:617182,Language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia,16,10,49,49,0.0013,0.005
OMIM:135150,Birt-Hogg-Dube syndrome,13,7,43,43,0.0013,0.006
OMIM:261630,"Hyperphenylalaninemia, bh4-deficient, C",18,15,75,75,0.0013,0.004
OMIM:615225,"Palmoplantar carcinoma, multiple self-healing",18,10,38,38,0.0013,0.002
OMIM:251280,"Microcephaly, seizures, spasticity, and brain calcifications",17,10,81,81,0.0013,0.004
OMIM:605432,Radioulnar synostosis with amegakaryocytic thrombocytopenia,15,5,43,43,0.0013,0.002
OMIM:258501,"3-methylglutaconic aciduria, type III",13,10,32,32,0.0013,0.002
OMIM:611490,"Osteopetrosis, autosomal recessive 4",15,11,21,21,0.0013,0.002
OMIM:108600,"Spastic ataxia 1, autosomal dominant",14,11,36,36,0.0013,0.002
OMIM:620062,"Developmental delay with short stature, dysmorphic facial features, and sparse hair 2",16,11,30,30,0.0013,0.008
OMIM:617194,Lethal congenital contracture syndrome 11,12,7,24,24,0.0013,0.002
OMIM:245800,Laurence-Moon syndrome,13,11,13,13,0.0013,0.002
OMIM:614377,Nephronophthisis 13,14,5,48,48,0.0013,0.008
OMIM:160120,"Episodic ataxia, type 1",15,13,46,46,0.0013,0.002
OMIM:244600,Keratoconus posticus circumscriptus,15,8,20,20,0.0013,0.002
OMIM:313200,"Spinal and bulbar muscular atrophy, X-linked 1",16,12,35,35,0.0013,0.011
OMIM:615493,"Intellectual developmental disorder, autosomal recessive 37",13,11,60,60,0.0013,0.005
OMIM:619083,Delpire-Mcneill syndrome,15,11,43,43,0.0013,0.011
OMIM:123150,Jackson-Weiss syndrome,15,5,73,73,0.0013,0.002
OMIM:259730,"Osteopetrosis, autosomal recessive 3",17,10,25,25,0.0013,0.002
OMIM:209850,Autism susceptibility 1,12,6,55,55,0.0013,0.005
OMIM:619042,"Spinal muscular atrophy, infantile, James type",17,12,51,51,0.0013,0.003
OMIM:278850,"46,XX sex reversal 2",16,4,69,69,0.0013,0.002
OMIM:601382,"Charcot-Marie-Tooth disease, type 4B1",12,9,31,31,0.0013,0.003
OMIM:617244,"Fanconi anemia, complementation group R",18,9,23,23,0.0013,0.004
OMIM:603543,Limb-Mammary syndrome,13,6,22,22,0.0013,0.002
OMIM:143880,"Hypercalcemia, infantile, 1",13,8,17,17,0.0013,0.004
OMIM:614198,"Myasthenic syndrome, congenital, 16",13,10,18,18,0.0013,0.002
OMIM:217100,"Constricting bands, congenital",15,12,30,30,0.0013,0.002
OMIM:619735,"Spastic paraplegia 86, autosomal recessive",16,12,70,70,0.0013,0.004
OMIM:604229,"Anterior segment dysgenesis 5, multiple subtypes",14,6,91,91,0.0013,0.002
OMIM:602499,"Macrophthalmia, colobomatous, with microcornea",13,6,78,78,0.0013,0.002
OMIM:618402,"Intellectual developmental disorder, autosomal recessive 70",16,11,53,53,0.0013,0.005
OMIM:300496,"Autism susceptibility, X-linked 3",13,7,55,55,0.0013,0.005
OMIM:617337,"Ectodermal dysplasia 12, Hypohidrotic/hair/tooth/nail type",17,5,92,92,0.0013,0.041
OMIM:254210,"Myasthenic syndrome, congenital, 6, presynaptic",18,7,38,38,0.0013,0.024
OMIM:203200,"Albinism, oculocutaneous, type II",14,9,46,46,0.0013,0.008
OMIM:617915,"Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome",17,13,49,49,0.0013,0.005
OMIM:617929,"Epileptic encephalopathy, early infantile, 60",14,7,91,91,0.0013,0.004
OMIM:617120,Joubert syndrome 27,15,9,27,27,0.0013,0.004
OMIM:300495,"Autism, susceptibility to, X-linked 2",13,7,55,55,0.0013,0.004
OMIM:605726,"Spinal muscular atrophy, distal, autosomal recessive, 2",12,3,32,32,0.0013,0.003
OMIM:618236,"Mitochondrial complex I deficiency, nuclear type 14",15,13,18,18,0.0013,0.002
OMIM:618418,"Spastic paraplegia 80, autosomal dominant",17,11,69,69,0.0013,0.002
OMIM:616353,"Dyskeratosis congenita, autosomal recessive 6",16,12,19,19,0.0013,0.004
OMIM:616409,Developmental and epileptic encephalopathy 33,17,14,108,108,0.0013,0.002
OMIM:193300,von Hippel-Lindau syndrome,18,9,58,58,0.0013,0.009
OMIM:226700,"Epidermolysis bullosa, junctional, Herlitz type",12,8,25,25,0.0013,0.003
OMIM:263300,Polycythemia vera,14,8,65,65,0.0013,0.027
OMIM:616230,"Epilepsy, progressive myoclonic, 8",18,14,136,136,0.0013,0.005
OMIM:614369,"Peripheral neuropathy, myopathy, hoarseness, and hearing loss",12,8,15,15,0.0013,0.003
OMIM:620027,"Neurodevelopmental disorder with microcephaly, short stature, and speech delay",14,7,49,49,0.0013,0.004
OMIM:610090,Pyridoxamine 5-prime-phosphate oxidase deficiency,17,13,30,30,0.0013,0.002
OMIM:225753,"Pontocerebellar hypoplasia, type 4",17,11,72,72,0.0013,0.028
OMIM:620427,"Dystonia 37, early-onset, with striatal lesions",14,11,79,79,0.0013,0.005
OMIM:211960,"Camptodactyly with muscular hypoplasia, skeletal dysplasia, and abnormalpalmar creases",15,9,29,29,0.0013,0.003
OMIM:177650,Exfoliation syndrome,13,8,66,66,0.0013,0.006
OMIM:618972,Mitochondrial DNA depletion syndrome 19,16,14,35,35,0.0013,0.002
OMIM:254780,Myoclonic epilepsy of Lafora,16,14,78,78,0.0013,0.002
OMIM:621101,Perrault syndrome 7,18,11,29,29,0.0013,0.004
OMIM:617935,"Epilepsy, familial focal, with variable foci 4",13,10,57,57,0.0013,0.004
OMIM:608747,Insulin-Like growth factor I deficiency,17,14,32,32,0.0013,0.005
OMIM:302950,"Chondrodysplasia punctata 1, X-linked recessive",14,11,18,18,0.0013,0.003
OMIM:300982,"Intellectual developmental disorder, X-linked 103",14,6,32,32,0.0013,0.005
OMIM:258900,Orotic aciduria,14,7,26,26,0.0013,0.003
OMIM:616640,"Epilepsy, progressive myoclonic, 10",18,12,136,136,0.0013,0.002
OMIM:604536,Ectodermal dysplasia/skin fragility syndrome,13,9,78,78,0.0013,0.005
OMIM:259410,"Osteogenesis imperfecta congenita, microcephaly, and cataracts",12,5,29,29,0.0013,0.002
OMIM:151800,"Lipomatosis, multiple symmetric, with or without peripheral neuropathy",14,13,27,27,0.0013,0.002
OMIM:225320,"Ehlers-Danlos syndrome, autosomal recessive, cardiac valvular form",14,7,33,33,0.0013,0.003
OMIM:617830,Developmental and epileptic encephalopathy 58,18,13,83,83,0.0013,0.004
OMIM:619028,"Coenzyme Q10 deficiency, primary, 9",18,13,95,95,0.0013,0.002
OMIM:620326,Congenital myopathy 21 with early respiratory failure,15,10,18,18,0.0013,0.005
OMIM:613464,Retinitis pigmentosa 51,15,11,46,46,0.0013,0.002
OMIM:620086,Intellectual developmental disorder with ocular anomalies and distinctive facial features,14,9,26,26,0.0013,0.004
OMIM:613672,"Spastic ataxia 4, autosomal recessive",15,6,61,61,0.0013,0.002
OMIM:613886,"Obesity, hyperphagia, and developmental delay",12,9,36,36,0.0013,0.004
OMIM:620243,"Leukodystrophy, hypomyelinating, 25",17,10,80,80,0.0013,0.004
OMIM:607373,"Autism, susceptibility to, 8",12,6,55,55,0.0013,0.005
OMIM:618284,"Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum",16,12,45,45,0.0013,0.005
OMIM:615830,"Pigmented nodular adrenocortical disease, primary, 4",18,11,29,29,0.0013,0.003
OMIM:614859,Peroxisome biogenesis disorder 3A (Zellweger),17,9,20,20,0.0013,0.004
OMIM:178500,"Pulmonary fibrosis, idiopathic",12,6,36,36,0.0013,0.006
OMIM:618244,"Mitochondrial complex I deficiency, nuclear type 23",12,9,15,15,0.0013,0.002
OMIM:617188,"Intellectual developmental disorder, autosomal recessive 57",17,14,97,97,0.0013,0.004
OMIM:605361,Spinocerebellar ataxia 14,15,10,91,91,0.0013,0.002
OMIM:616321,"Myasthenic syndrome, congenital, 3A, slow-channel",12,5,25,25,0.0013,0.002
OMIM:619012,Combined oxidative phosphorylation deficiency 48,15,12,24,24,0.0013,0.002
OMIM:620447,Megalencephalic leukoencephalopathy with subcortical cysts 3,18,11,127,127,0.0013,0.002
OMIM:129200,Basan syndrome,14,7,62,62,0.0013,0.002
OMIM:609638,"Epidermolysis bullosa, lethal acantholytic",15,8,43,43,0.0013,0.002
OMIM:122600,Spondylocostal dysostosis 5,13,7,56,56,0.0012,0.009
OMIM:620728,Ullrich congenital muscular dystrophy 1C,14,9,67,67,0.0012,0.002
OMIM:616488,"Neuropathy, hereditary sensory and autonomic, type VIII",15,12,32,32,0.0012,0.002
OMIM:162350,"Ceroid lipofuscinosis, neuronal, 4B, autosomal dominant",17,11,81,81,0.0012,0.002
OMIM:615625,"Spastic paraplegia 72, autosomal recessive",13,8,48,48,0.0012,0.002
OMIM:614897,Hypogonadotropic hypogonadism 16 with or without anosmia,15,5,35,35,0.0012,0.003
OMIM:617018,Spinocerebellar ataxia 43,18,12,62,62,0.0012,0.003
OMIM:618840,Alopecia-intellectual disability syndrome 4,14,10,34,34,0.0012,0.005
OMIM:618855,Combined oxidative phosphorylation deficiency 44,12,11,28,28,0.0012,0.002
OMIM:610951,"Ceroid lipofuscinosis, neuronal, 7",15,15,55,55,0.0012,0.003
OMIM:125800,"Diabetes insipidus, nephrogenic, 2",15,8,14,14,0.0012,0.002
OMIM:614879,Peroxisome biogenesis disorder 9B,17,13,21,21,0.0012,0.002
OMIM:617633,"Spinocerebellar ataxia, autosomal recessive 26",18,12,97,97,0.0012,0.002
OMIM:607346,Spinocerebellar ataxia 19,17,12,72,72,0.0012,0.002
OMIM:616471,Bethlem myopathy 2,18,12,94,94,0.0012,0.003
OMIM:611134,"Meckel syndrome, type 4",18,14,47,47,0.0012,0.002
OMIM:618845,"Vertebral, cardiac, renal, and limb defects syndrome 3",14,7,23,23,0.0012,0.003
OMIM:619031,"Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies",13,7,56,56,0.0012,0.004
OMIM:617008,"Cerebral palsy, spastic quadriplegic, 3",17,14,76,76,0.0012,0.002
OMIM:618501,Cerebellar atrophy with seizures and variable developmental delay,18,12,70,70,0.0012,0.002
OMIM:618924,"Episodic ataxia, type 9",15,11,56,56,0.0012,0.002
OMIM:616710,"Parkinson disease 22, autosomal dominant",13,8,55,55,0.0012,0.002
OMIM:619609,Galloway-Mowat syndrome 10,15,7,41,41,0.0012,0.004
OMIM:614305,Sclerosteosis 2,16,11,37,37,0.0012,0.002
OMIM:259780,Otoonychoperoneal syndrome,14,8,25,25,0.0012,0.002
OMIM:619972,"Neurodevelopmental disorder with severe motor impairment, absent language, cerebral hypomyelination, and brain atrophy",15,8,44,44,0.0012,0.005
OMIM:615386,"Spinocerebellar ataxia, autosomal recessive 14",14,11,58,58,0.0012,0.002
OMIM:216900,Achromatopsia 2,14,5,91,91,0.0012,0.002
OMIM:204690,"Amelogenesis imperfecta, type IG (enamel-renal syndrome)",12,4,25,25,0.0012,0.006
OMIM:256840,"Neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive",18,11,75,75,0.0012,0.009
OMIM:611555,"Renal tubular acidosis, distal, with nephrocalcinosis, short stature, impaired intellectual development, and distinctive facies",14,8,24,24,0.0012,0.003
OMIM:601815,Phosphoglycerate dehydrogenase deficiency,15,7,22,22,0.0012,0.002
OMIM:300718,"Myopathy, reducing body, X-linked, childhood-onset",16,8,78,78,0.0012,0.002
OMIM:145001,Hyperparathyroidism 2,15,5,49,49,0.0012,0.008
OMIM:601357,"Brachial amelia, cleft lip, and holoprosencephaly",15,11,28,28,0.0012,0.002
OMIM:617051,Neurodevelopmental disorder with microcephaly and gray sclerae,13,10,39,39,0.0012,0.004
OMIM:163400,Nievergelt syndrome,14,11,35,35,0.0012,0.002
OMIM:612713,Kahrizi syndrome,13,8,13,13,0.0012,0.004
OMIM:617899,"Leukodystrophy, hypomyelinating, 14",14,13,30,30,0.0012,0.004
OMIM:610099,"Myopathy, distal 3",12,5,31,31,0.0012,0.003
OMIM:605899,Glycine encephalopathy,18,14,80,80,0.0012,0.002
OMIM:500018,Mitochondrial spastic paraplegia,17,7,94,94,0.0012,0.002
OMIM:615043,"Spastic paraplegia 43, autosomal recessive",16,12,61,61,0.0012,0.003
OMIM:615731,Nemaline myopathy 9,14,9,21,21,0.0012,0.002
OMIM:124200,Darier-White disease,14,4,42,42,0.0012,0.002
OMIM:300695,"Scapuloperoneal myopathy, X-linked dominant",15,5,48,48,0.0012,0.01
OMIM:612463,Pseudopseudohypoparathyroidism,17,12,32,32,0.0012,0.002
OMIM:619052,"Mitochondrial complex IV deficiency, nuclear type 8",13,7,47,47,0.0012,0.002
OMIM:615522,Cole disease,15,9,47,47,0.0012,0.002
OMIM:613151,"Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 3",12,12,25,25,0.0012,0.005
OMIM:618776,"Mitochondrial complex I deficiency, nuclear type 34",12,8,10,10,0.0012,0.002
OMIM:614170,Brittle cornea syndrome 2,17,7,42,42,0.0012,0.002
OMIM:119800,"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly",15,4,30,30,0.0012,0.002
OMIM:610100,"Giant axonal neuropathy, autosomal dominant",14,8,35,35,0.0012,0.003
OMIM:620028,Developmental and epileptic encephalopathy 106,15,13,42,42,0.0012,0.004
OMIM:615911,Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,17,12,79,79,0.0012,0.002
OMIM:612918,"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi",18,12,26,26,0.0012,0.002
OMIM:617082,"Congenital disorder of glycosylation, type IAA",17,13,34,34,0.0012,0.002
OMIM:609727,"Spastic paraplegia 29, autosomal dominant",17,9,38,38,0.0012,0.004
OMIM:609055,"Ceroid lipofuscinosis, neuronal, 9",17,13,43,43,0.0012,0.002
OMIM:614561,"Leukoencephalopathy, brain calcifications, and cysts",15,15,105,105,0.0012,0.002
OMIM:612138,Epidermolysis bullosa simplex with pyloric atresia,12,7,10,10,0.0012,0.002
OMIM:617691,Spinocerebellar ataxia 44,14,11,56,56,0.0012,0.002
OMIM:615938,Megalencephaly-Polymicrogyria-Polydactyly-Hydrocephalus syndrome 3,12,8,32,32,0.0012,0.004
OMIM:616570,Cerebrooculofacioskeletal syndrome 3,17,14,28,28,0.0012,0.002
OMIM:309300,"Megalocornea 1, X-linked",15,10,105,105,0.0012,0.002
OMIM:615538,Chromosome 22q13 duplication syndrome,13,4,42,42,0.0012,0.002
OMIM:616025,Glycosylphosphatidylinositol biosynthesis defect 11,18,10,58,58,0.0012,0.004
OMIM:303350,MASA syndrome,18,16,66,66,0.0012,0.008
OMIM:618800,"Spinocerebellar ataxia, autosomal recessive 28",14,10,38,38,0.0012,0.004
OMIM:614592,Bent bone dysplasia syndrome,18,8,52,52,0.0012,0.002
OMIM:613612,"Congenital disorder of glycosylation, type IIi",13,10,29,29,0.0012,0.005
OMIM:620033,Developmental and epileptic encephalopathy 107,14,9,45,45,0.0012,0.004
OMIM:601957,Odontotrichoungual-Digital-Palmar syndrome,15,10,46,46,0.0012,0.002
OMIM:615665,Joubert syndrome 22,17,11,31,31,0.0012,0.002
OMIM:618396,"Epileptic encephalopathy, early infantile, 74",16,9,91,91,0.0012,0.002
OMIM:603563,"Spastic paraplegia 8, autosomal dominant",18,11,80,80,0.0012,0.002
OMIM:212840,Cerebellar ataxia and hypogonadotropic hypogonadism,13,8,30,30,0.0012,0.003
OMIM:300049,"Heterotopia, periventricular, X-linked dominant",18,17,47,47,0.0012,0.002
OMIM:181510,Schizophrenia 1,14,6,15,15,0.0012,0.002
OMIM:302500,"Spinocerebellar ataxia, X-linked 1",15,13,42,42,0.0012,0.002
OMIM:614195,Craniofacial anomalies and anterior segment dysgenesis syndrome,18,12,54,54,0.0012,0.002
OMIM:621314,"Pompe disease, late-onset",12,5,16,16,0.0012,0.002
OMIM:243000,"Indifference to pain, congenital, autosomal recessive",15,11,67,67,0.0012,0.002
OMIM:604802,Huntington disease-like 3,17,15,93,93,0.0012,0.002
OMIM:551500,"Neuropathy, ataxia, and retinitis pigmentosa",14,13,28,28,0.0012,0.002
OMIM:500001,Leber optic atrophy and dystonia,18,15,65,65,0.0012,0.002
OMIM:272800,Tay-Sachs disease,14,7,17,17,0.0012,0.002
OMIM:612126,Glut1 deficiency syndrome 2,17,12,81,81,0.0012,0.002
OMIM:620779,"Intellectual developmental disorder, autosomal recessive 82",13,10,55,55,0.0012,0.005
OMIM:619661,"Leukoencephalopathy, hereditary diffuse, with spheroids 2",12,7,36,36,0.0012,0.002
OMIM:613402,"Microcephaly, seizures, and developmental delay",15,12,83,83,0.0012,0.004
OMIM:618557,"Epileptic encephalopathy, early infantile, 78",17,14,75,75,0.0012,0.002
OMIM:275000,Graves disease,17,10,19,19,0.0012,0.003
OMIM:619339,"Popliteal pterygium syndrome, Bartsocas-Papas type 2",17,6,56,56,0.0012,0.002
OMIM:619844,Intellectual developmental disorder with or without peripheral neuropathy,16,7,37,37,0.0012,0.004
OMIM:619688,"Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy",13,12,45,45,0.0012,0.005
OMIM:619065,"Mitochondrial complex IV deficiency, nuclear type 21",18,8,71,71,0.0012,0.002
OMIM:610256,Anterior segment dysgenesis 2,14,6,91,91,0.0012,0.002
OMIM:616425,"46,XY sex reversal 10",13,4,78,78,0.0012,0.001
OMIM:616948,"Spinocerebellar ataxia, autosomal recessive 22",13,12,66,66,0.0012,0.002
OMIM:613818,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9",13,8,31,31,0.0012,0.005
OMIM:617370,Peroxisome biogenesis disorder 10B,14,7,12,12,0.0012,0.002
OMIM:611067,"Spinal muscular atrophy, distal, autosomal recessive, 4",16,12,62,62,0.0012,0.003
OMIM:614321,"Myopathy, distal, Tateyama type",13,3,34,34,0.0012,0.01
OMIM:115310,Paragangliomas 4,18,9,64,64,0.0012,0.004
OMIM:225280,"Ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome",17,11,50,50,0.0012,0.003
OMIM:613077,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5",17,14,28,28,0.0012,0.002
OMIM:617205,"Heterotaxy, visceral, 8, autosomal",12,4,55,55,0.0012,0.003
OMIM:124480,"Deafness, congenital, and onychodystrophy, autosomal dominant",16,10,24,24,0.0012,0.003
OMIM:610542,"Myasthenic syndrome, congenital, with tubular aggregates 1",16,10,55,55,0.0012,0.01
OMIM:619016,"Ichthyosis, follicular, with atrichia and photophobia syndrome 2",12,6,28,28,0.0012,0.008
OMIM:278780,"Xeroderma pigmentosum, complementation group G",13,9,17,17,0.0012,0.002
