disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:619172,Hermansky-Pudlak syndrome 11,16,5,42,42,0.0064,0.223
OMIM:618635,Siddiqi syndrome,12,10,16,16,0.0063,0.019
OMIM:246700,Chylomicron retention disease,14,8,20,20,0.0062,0.025
OMIM:616026,Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young,17,12,71,71,0.0062,0.162
OMIM:602347,"Cholestasis, progressive familial intrahepatic, 3",15,11,59,59,0.0061,0.027
OMIM:614325,Pitt-Hopkins-Like syndrome 2,16,9,15,15,0.0061,0.024
OMIM:619902,Hepatorenocardiac degenerative fibrosis,16,7,39,39,0.006,0.017
OMIM:608600,"Lipodystrophy, familial partial, type 1",17,11,34,34,0.006,0.157
OMIM:300555,Dent disease 2,15,8,41,41,0.0059,0.159
OMIM:612132,Ectodermal dysplasia and immunodeficiency 2,18,10,36,36,0.0059,0.038
OMIM:619463,"Portal hypertension, noncirrhotic, 2",16,10,33,33,0.0059,0.03
OMIM:617395,"Congenital disorder of glycosylation, type IIq",12,7,29,29,0.0057,0.131
OMIM:619868,"Cholestasis, progressive familial intrahepatic, 10",16,7,48,48,0.0057,0.035
OMIM:608709,"Lipodystrophy, partial, acquired, susceptibility to",14,9,25,25,0.0057,0.035
OMIM:620365,"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 7",13,10,11,11,0.0056,0.018
OMIM:618641,Infantile liver failure syndrome 3,18,16,36,36,0.0056,0.018
OMIM:215600,"Cirrhosis, familial",14,8,32,32,0.0055,0.022
OMIM:601198,"Hypocalcemia, autosomal dominant 1",17,8,28,28,0.0055,0.036
OMIM:615710,Mitchell-Riley syndrome,18,10,97,97,0.0054,0.167
OMIM:600803,Gallbladder disease 1,12,8,46,46,0.0054,0.014
OMIM:614482,"Congenital cataracts, hearing loss, and neurodegeneration",14,9,30,30,0.0054,0.131
OMIM:604484,"Neuropathy, hereditary motor and sensory, Okinawa type",18,14,72,72,0.0053,0.163
OMIM:616000,Analbuminemia,13,8,12,12,0.0052,0.009
OMIM:618097,"Microcephaly, growth restriction, and increased sister chromatid exchange 2",13,8,12,12,0.0052,0.035
OMIM:313850,Thoracoabdominal syndrome,14,11,11,11,0.0051,0.024
OMIM:602088,Nephronophthisis 2,17,2,30,30,0.0051,0.131
OMIM:619073,"Vitamin d-dependent rickets, type 3",13,8,25,25,0.0051,0.052
OMIM:201450,"Acyl-Coa dehydrogenase, medium-chain, deficiency of",18,13,59,59,0.0051,0.172
OMIM:616860,"Anemia, sideroblastic, 3, pyridoxine-refractory",15,8,35,35,0.0051,0.018
OMIM:620515,"Neurodevelopmental disorder with motor regression, progressive spastic paraplegia, and oromotor dysfunction",13,11,56,56,0.0049,0.016
OMIM:618637,Oculopharyngeal myopathy with leukoencephalopathy 1,12,11,15,15,0.0049,0.06
OMIM:620642,"Ciliary dyskinesia, primary, 53",17,8,68,68,0.0047,0.162
OMIM:606842,Cardioneuromyopathy with hyaline masses and nemaline rods,13,8,15,15,0.0046,0.052
