rank,disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
2279,ORPHA:99940,Autosomal dominant Charcot-Marie-Tooth disease type 2F,ORPHA,12,12,0,0,0,0,8,66,30,36,30,2,0,0.002613,0.014642,RANKABLE
2280,OMIM:619446,Retinal dystrophy and microvillus inclusion disease,OMIM,9,9,0,0,0,0,5,36,6,30,6,0,0,0.002612,0.005913,RANKABLE
2281,OMIM:617086,Encephalopathy due to defective mitochondrial and peroxisomal fission 2,OMIM,21,21,0,0,0,0,19,210,102,108,102,9,0,0.002609,0.019268,RANKABLE
2282,OMIM:621487,"Mitochondrial complex IV deficiency, nuclear type 25 ",OMIM,22,22,0,0,0,0,11,231,41,190,41,3,0,0.002607,0.023783,RANKABLE
2283,ORPHA:167635,Scleromyxedema,ORPHA,40,40,0,0,0,0,30,780,88,692,88,5,0,0.002607,0.054410,RANKABLE
2284,OMIM:238320,Hypergonadotropic hypogonadism,OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.002605,0.002605,RANKABLE
2285,OMIM:620939,"Myelofibrosis, congenital, with anemia, neutropenia, developmental delay, and ocular abnormalities",OMIM,78,78,0,0,0,0,34,3003,388,2615,388,28,0,0.002604,0.032294,RANKABLE
2286,OMIM:108760,Atresia of external auditory canal and conduction deafness,OMIM,5,5,0,0,0,0,3,10,6,4,6,1,0,0.002602,0.014077,RANKABLE
2287,OMIM:619167,"Mitochondrial complex II deficiency, nuclear type 3",OMIM,26,26,0,0,0,0,18,325,60,265,60,5,0,0.002599,0.017948,RANKABLE
2288,ORPHA:565612,Primary triglyceride deposit cardiomyovasculopathy,ORPHA,28,28,0,0,0,0,20,378,73,305,73,8,0,0.002598,0.027189,RANKABLE
2289,OMIM:620783,Developmental and epileptic encephalopathy 115,OMIM,20,20,0,0,0,0,17,190,125,65,125,8,0,0.002596,0.027740,RANKABLE
2290,ORPHA:2092,Focal dermal hypoplasia,ORPHA,69,69,0,0,0,0,50,2346,409,1937,409,11,1,0.002595,0.170872,RANKABLE
2291,OMIM:610015,"Glutamine deficiency, congenital",OMIM,28,28,0,0,0,0,18,378,72,306,72,1,1,0.002591,0.107789,RANKABLE
2292,ORPHA:1122,Ulnar hypoplasia-split foot syndrome,ORPHA,4,4,0,0,0,0,2,6,6,0,6,0,0,0.002590,0.007746,RANKABLE
2293,OMIM:249270,Thiamine-Responsive megaloblastic anemia syndrome,OMIM,25,25,0,0,0,0,22,300,36,264,36,4,0,0.002586,0.022271,RANKABLE
2294,OMIM:619615,"Deafness, autosomal recessive 119",OMIM,4,4,0,0,0,0,4,6,3,3,3,0,0,0.002586,0.004372,RANKABLE
2295,OMIM:171000,Peyronie disease,OMIM,3,3,0,0,0,0,2,3,1,2,1,0,0,0.002581,0.002581,RANKABLE
2296,OMIM:275220,Tibial hemimelia,OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.002581,0.002581,RANKABLE
2297,OMIM:614970,Joubert syndrome 20,OMIM,12,12,0,0,0,0,9,66,23,43,23,1,0,0.002581,0.013158,RANKABLE
2298,OMIM:617771,Developmental and epileptic encephalopathy 57,OMIM,15,15,0,0,0,0,9,105,78,27,78,6,0,0.002581,0.017948,RANKABLE
2299,OMIM:614052,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2",OMIM,39,39,0,0,0,0,22,741,91,650,91,1,1,0.002578,0.107789,RANKABLE
2300,OMIM:180210,"Retinopathy, pericentral pigmentary, dominant",OMIM,8,8,0,0,0,0,6,28,28,0,28,0,0,0.002576,0.006522,RANKABLE
2301,OMIM:616199,Polyglucosan body myopathy 2,OMIM,12,12,0,0,0,0,8,66,37,29,37,5,0,0.002575,0.011171,RANKABLE
2302,OMIM:264470,Peroxisomal acyl-CoA oxidase deficiency,OMIM,35,35,0,0,0,0,19,595,116,479,116,8,0,0.002574,0.018026,RANKABLE
2303,OMIM:618228,"Mitochondrial complex I deficiency, nuclear type 6",OMIM,29,29,0,0,0,0,26,406,69,337,69,6,0,0.002573,0.019268,RANKABLE
2304,OMIM:182900,"Spherocytosis, type 1",OMIM,8,8,0,0,0,0,6,28,9,19,9,0,0,0.002572,0.008928,RANKABLE
2305,ORPHA:90103,Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome,ORPHA,29,29,0,0,0,0,14,406,172,234,172,7,0,0.002570,0.014642,RANKABLE
2306,OMIM:612556,Adiponectin deficiency,OMIM,4,4,0,0,0,0,2,6,1,5,1,0,0,0.002569,0.002569,RANKABLE
2307,OMIM:617954,Multiple mitochondrial dysfunctions syndrome 6,OMIM,23,23,0,0,0,0,19,253,111,142,111,9,0,0.002568,0.018026,RANKABLE
2308,OMIM:614020,"Intellectual developmental disorder, autosomal recessive 14",OMIM,4,4,0,0,0,0,3,6,3,3,3,0,0,0.002565,0.004703,RANKABLE
2309,ORPHA:28,Vitamin B12-responsive methylmalonic acidemia,ORPHA,13,13,0,0,0,0,13,78,8,70,8,0,0,0.002565,0.006167,RANKABLE
2310,ORPHA:60025,Pulmonary alveolar microlithiasis,ORPHA,41,41,0,0,0,0,24,820,253,567,253,22,0,0.002564,0.047021,RANKABLE
2311,OMIM:219100,"Cutis laxa, autosomal recessive, type IA",OMIM,24,24,0,0,0,0,14,276,52,224,52,3,0,0.002563,0.024187,RANKABLE
2312,OMIM:607641,"Neuronopathy, distal hereditary motor, type VIIB",OMIM,8,8,0,0,0,0,7,28,16,12,16,2,0,0.002563,0.010999,RANKABLE
2313,OMIM:613177,"Cutis laxa, autosomal recessive, type IC",OMIM,47,47,0,0,0,0,22,1081,194,887,194,8,0,0.002561,0.025578,RANKABLE
2314,OMIM:189960,Tracheoesophageal fistula with or without esophageal atresia,OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.002560,0.002560,RANKABLE
2315,ORPHA:168782,Childhood disintegrative disorder,ORPHA,16,16,0,0,0,0,11,120,92,28,92,10,0,0.002559,0.017948,RANKABLE
2316,OMIM:615709,Sacral agenesis with vertebral anomalies,OMIM,6,6,0,0,0,0,2,15,5,10,5,0,0,0.002557,0.007000,RANKABLE
2317,ORPHA:79083,PPARG-related familial partial lipodystrophy,ORPHA,34,34,0,0,0,0,23,561,93,468,93,8,0,0.002556,0.034438,RANKABLE
2318,OMIM:615907,Lymphatic malformation 4,OMIM,7,7,0,0,0,0,5,21,4,17,4,0,0,0.002553,0.006563,RANKABLE
2319,ORPHA:3240,Early-onset progressive leukoencephalopathy-central nervous system calcification-deafness-visual impairment syndrome,ORPHA,21,21,0,0,0,0,10,210,59,151,59,3,0,0.002551,0.017948,RANKABLE
2320,ORPHA:737,Porokeratosis plantaris palmaris et disseminata,ORPHA,10,10,0,0,0,0,7,45,39,6,39,0,0,0.002548,0.008930,RANKABLE
2321,ORPHA:315,Erythrokeratoderma ''en cocardes'',ORPHA,5,5,0,0,0,0,5,10,7,3,7,0,0,0.002547,0.006902,RANKABLE
2322,OMIM:312750,Rett syndrome,OMIM,28,28,0,0,0,0,19,378,124,254,124,8,0,0.002544,0.023016,RANKABLE
2323,ORPHA:796,Sandhoff disease,ORPHA,19,19,0,0,0,0,15,171,25,146,25,1,0,0.002540,0.033351,RANKABLE
2324,OMIM:220120,D-glyceric aciduria,OMIM,40,40,0,0,0,0,26,780,253,527,253,3,2,0.002536,0.161588,RANKABLE
2325,OMIM:620984,Bronchiectasis and nasal polyposis,OMIM,9,9,0,0,0,0,4,36,17,19,17,1,0,0.002536,0.031757,RANKABLE
2326,OMIM:604400,"Arrhythmogenic right ventricular dysplasia, familial, 5",OMIM,10,10,0,0,0,0,5,45,29,16,29,1,0,0.002534,0.010481,RANKABLE
2327,ORPHA:178475,Wound botulism,ORPHA,15,15,0,0,0,0,12,105,18,87,18,1,0,0.002532,0.025921,RANKABLE
2328,OMIM:618156,Squalene synthase deficiency,OMIM,36,36,0,0,0,0,16,630,78,552,78,3,0,0.002531,0.034438,RANKABLE
2329,ORPHA:79138,Bickerstaff brainstem encephalitis,ORPHA,47,47,0,0,0,0,31,1081,405,676,405,11,2,0.002530,0.167066,RANKABLE
2330,OMIM:619921,"Dystonia 35, childhood-onset",OMIM,3,3,0,0,0,0,3,3,3,0,3,0,0,0.002529,0.004372,RANKABLE
2331,ORPHA:221098,Glossopharyngeal neuralgia,ORPHA,28,28,0,0,0,0,17,378,89,289,89,5,0,0.002527,0.045769,RANKABLE
2332,OMIM:620247,"Cardiomyopathy, dilated, 1OO",OMIM,6,6,0,0,0,0,5,15,15,0,15,0,0,0.002525,0.008813,RANKABLE
2333,ORPHA:85197,Genochondromatosis type 1,ORPHA,3,3,0,0,0,0,2,3,3,0,3,0,0,0.002525,0.003122,RANKABLE
2334,OMIM:616346,"Epileptic encephalopathy, early infantile, 31",OMIM,20,20,0,0,0,0,14,190,154,36,154,12,0,0.002523,0.018026,RANKABLE
2335,OMIM:269700,"Lipodystrophy, congenital generalized, type 2",OMIM,40,40,0,0,0,0,20,780,101,679,101,3,0,0.002523,0.018418,RANKABLE
2336,ORPHA:42665,Tietz syndrome,ORPHA,6,6,0,0,0,0,5,15,6,9,6,0,0,0.002523,0.005883,RANKABLE
2337,ORPHA:93585,Immune-mediated thrombotic thrombocytopenic purpura,ORPHA,41,41,0,0,0,0,23,820,133,687,133,6,0,0.002523,0.036610,RANKABLE
2338,OMIM:616502,Cone-rod dystrophy 21,OMIM,5,5,0,0,0,0,4,10,10,0,10,0,0,0.002522,0.005594,RANKABLE
2339,ORPHA:702,Pelizaeus-Merzbacher disease,ORPHA,32,32,0,0,0,0,30,496,129,367,129,11,0,0.002521,0.018026,RANKABLE
2340,ORPHA:3197,Hereditary hyperekplexia,ORPHA,21,21,0,0,0,0,18,210,95,115,95,4,0,0.002519,0.039871,RANKABLE
2341,OMIM:158350,Cowden syndrome 1,OMIM,45,45,0,0,0,0,30,990,134,856,134,5,0,0.002516,0.065896,RANKABLE
2342,OMIM:308800,"Keratosis follicularis spinulosa decalvans, X-linked",OMIM,18,18,0,0,0,0,9,153,91,62,91,3,0,0.002516,0.038102,RANKABLE
2343,ORPHA:2023,Undifferentiated pleomorphic sarcoma,ORPHA,9,9,0,0,0,0,8,36,2,34,2,0,0,0.002516,0.003783,RANKABLE
2344,ORPHA:600,Vocal cord and pharyngeal distal myopathy,ORPHA,29,29,0,0,0,0,17,406,125,281,125,3,1,0.002514,0.183096,RANKABLE
2345,OMIM:203700,Mitochondrial DNA depletion syndrome 4A (Alpers type),OMIM,46,46,0,0,0,0,33,1035,288,747,288,15,0,0.002513,0.026350,RANKABLE
2346,OMIM:611726,"Epilepsy, progressive myoclonic 3, with or without intracellular inclusions",OMIM,16,16,0,0,0,0,14,120,79,41,79,6,0,0.002512,0.018026,RANKABLE
2347,OMIM:615924,"Encephalopathy, progressive, with or without lipodystrophy",OMIM,19,19,0,0,0,0,17,171,136,35,136,11,0,0.002512,0.019513,RANKABLE
2348,OMIM:235255,"Mullerian derivatives, persistence of, with lymphangiectasia and postaxial polydactyly",OMIM,41,41,0,0,0,0,20,820,167,653,167,3,1,0.002511,0.157839,RANKABLE
2349,OMIM:613571,Disordered steroidogenesis due to cytochrome P450 oxidoreductase,OMIM,3,3,0,0,0,0,1,3,1,2,1,0,0,0.002510,0.002510,RANKABLE
2350,OMIM:617825,Glucocorticoid deficiency 5,OMIM,3,3,0,0,0,0,1,3,1,2,1,0,0,0.002510,0.002510,RANKABLE
2351,ORPHA:254361,Plectin-related limb-girdle muscular dystrophy R17,ORPHA,33,33,0,0,0,0,17,528,153,375,153,7,1,0.002510,0.155429,RANKABLE
2352,OMIM:613319,Miyoshi muscular dystrophy 3,OMIM,9,9,0,0,0,0,4,36,28,8,28,1,0,0.002508,0.010154,RANKABLE
2353,ORPHA:1123,Caudal appendage-deafness syndrome,ORPHA,7,7,0,0,0,0,5,21,1,20,1,0,0,0.002508,0.002508,RANKABLE
2354,OMIM:612843,"Keratosis follicularis spinulosa decalvans, autosomal dominant",OMIM,18,18,0,0,0,0,11,153,86,67,86,3,0,0.002507,0.038102,RANKABLE
2355,OMIM:614924,Combined oxidative phosphorylation deficiency 12,OMIM,35,35,0,0,0,0,20,595,138,457,138,6,0,0.002506,0.017948,RANKABLE
2356,ORPHA:391417,HSD10 disease,ORPHA,37,37,0,0,0,0,30,666,291,375,291,19,0,0.002505,0.059527,RANKABLE
2357,ORPHA:199241,Pulmonary capillary hemangiomatosis,ORPHA,23,23,0,0,0,0,12,253,131,122,131,7,0,0.002503,0.013191,RANKABLE
2358,OMIM:226600,"Epidermolysis bullosa dystrophica, autosomal recessive",OMIM,25,25,0,0,0,0,16,300,75,225,75,5,0,0.002502,0.025921,RANKABLE
2359,ORPHA:440713,Isolated sedoheptulokinase deficiency,ORPHA,28,28,0,0,0,0,17,378,60,318,60,0,0,0.002500,0.009890,RANKABLE
2360,ORPHA:419,Hyperprolinemia type 1,ORPHA,6,6,0,0,0,0,2,15,6,9,6,0,0,0.002498,0.004159,RANKABLE
2361,ORPHA:158003,Xanthoma disseminatum,ORPHA,6,6,0,0,0,0,6,15,3,12,3,0,0,0.002496,0.004576,RANKABLE
2362,OMIM:120430,"Coloboma of optic nerveoptic nerve head pits, bilateral congenital, included",OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.002495,0.002495,RANKABLE
2363,ORPHA:485421,MFF-related encephalopathy due to mitochondrial and peroxisomal fission defect,ORPHA,29,29,0,0,0,0,24,406,175,231,175,13,0,0.002495,0.027740,RANKABLE
2364,OMIM:127550,"Dyskeratosis congenita, autosomal dominant, 1",OMIM,30,30,0,0,0,0,20,435,75,360,75,8,0,0.002494,0.018799,RANKABLE
2365,OMIM:301111,"Intellectual developmental disorder, X-linked 112",OMIM,41,41,0,0,0,0,30,820,122,698,122,4,0,0.002494,0.052585,RANKABLE
2366,ORPHA:2538,Microgastria-limb reduction defect syndrome,ORPHA,48,48,0,0,0,0,33,1128,244,884,244,5,0,0.002492,0.039871,RANKABLE
2367,ORPHA:453510,Congenital insensitivity to pain with severe intellectual disability,ORPHA,29,29,0,0,0,0,15,406,81,325,81,3,0,0.002490,0.018290,RANKABLE
2368,OMIM:606528,Homozygous 11p15-p14 deletion syndrome,OMIM,10,10,0,0,0,0,8,45,10,35,10,0,0,0.002489,0.004535,RANKABLE
2369,OMIM:618618,"Spondyloepiphyseal dysplasia, Nishimura type",OMIM,30,30,0,0,0,0,17,435,130,305,130,3,0,0.002486,0.055610,RANKABLE
2370,OMIM:189490,Tooth malformation,OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.002484,0.002484,RANKABLE
2371,OMIM:300672,Developmental and epileptic encephalopathy 2,OMIM,31,31,0,0,0,0,14,465,153,312,153,10,0,0.002482,0.023016,RANKABLE
2372,OMIM:617913,"Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities",OMIM,36,36,0,0,0,0,23,630,130,500,130,6,0,0.002480,0.033536,RANKABLE
2373,OMIM:300919,"Intellectual developmental disorder, X-linked 99",OMIM,17,17,0,0,0,0,13,136,23,113,23,1,0,0.002479,0.021314,RANKABLE
2374,ORPHA:116,Beckwith-Wiedemann syndrome,ORPHA,85,85,0,0,0,0,49,3570,449,3121,449,8,3,0.002478,0.170872,RANKABLE
2375,OMIM:616809,Hyperphosphatasia with impaired intellectual development syndrome 6,OMIM,41,41,0,0,0,0,19,820,131,689,131,6,0,0.002476,0.024440,RANKABLE
2376,OMIM:618497,Neurodevelopmental disorder with seizures and nonepileptic hyperkinetic movements,OMIM,28,28,0,0,0,0,20,378,159,219,159,12,0,0.002473,0.024440,RANKABLE
2377,ORPHA:77261,Gaucher disease type 3,ORPHA,40,40,0,0,0,0,36,780,112,668,112,4,0,0.002473,0.052890,RANKABLE
2378,ORPHA:180229,Polyembryoma,ORPHA,19,19,0,0,0,0,15,171,23,148,23,0,0,0.002473,0.007268,RANKABLE
2379,OMIM:278300,"Xanthinuria, type I",OMIM,10,10,0,0,0,0,2,45,20,25,20,0,0,0.002472,0.008883,RANKABLE
2380,ORPHA:313855,FGFR2-related bent bone dysplasia,ORPHA,27,27,0,0,0,0,11,351,102,249,102,2,0,0.002472,0.052702,RANKABLE
2381,OMIM:230600,"GM1-gangliosidosis, type II",OMIM,34,34,0,0,0,0,25,561,126,435,126,8,0,0.002471,0.026150,RANKABLE
2382,ORPHA:86843,Acute panmyelosis with myelofibrosis,ORPHA,15,15,0,0,0,0,5,105,60,45,60,5,0,0.002470,0.026150,RANKABLE
2383,OMIM:256800,"Insensitivity to pain, congenital, with anhidrosis",OMIM,26,26,0,0,0,0,15,325,73,252,73,3,0,0.002468,0.034902,RANKABLE
2384,OMIM:616682,"Seizures, scoliosis, and macrocephaly/microcephaly syndrome",OMIM,39,39,0,0,0,0,28,741,139,602,139,6,0,0.002467,0.024440,RANKABLE
2385,OMIM:105250,"Amyloidosis, primary localized cutaneous, 1",OMIM,5,5,0,0,0,0,4,10,6,4,6,0,0,0.002466,0.004414,RANKABLE
2386,OMIM:236800,Hydroxykynureninuria,OMIM,4,4,0,0,0,0,2,6,2,4,2,0,0,0.002462,0.003949,RANKABLE
2387,ORPHA:1183,Opsoclonus-myoclonus syndrome,ORPHA,22,22,0,0,0,0,17,231,61,170,61,2,0,0.002461,0.046952,RANKABLE
2388,OMIM:615338,Developmental and epileptic encephalopathy 16,OMIM,19,19,0,0,0,0,16,171,84,87,84,6,0,0.002459,0.017610,RANKABLE
2389,ORPHA:95428,COG8-CDG,ORPHA,24,24,0,0,0,0,13,276,88,188,88,6,0,0.002459,0.018026,RANKABLE
2390,ORPHA:230800,Toxin-mediated infectious botulism,ORPHA,12,12,0,0,0,0,10,66,18,48,18,1,0,0.002459,0.025921,RANKABLE
2391,ORPHA:431347,Urachal diverticulum,ORPHA,8,8,0,0,0,0,5,28,10,18,10,0,0,0.002457,0.008990,RANKABLE
2392,OMIM:146590,"Ichthyosis hystrix, Curth-Macklin type",OMIM,7,7,0,0,0,0,4,21,15,6,15,0,0,0.002456,0.005371,RANKABLE
2393,ORPHA:353281,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion,ORPHA,88,88,0,0,0,0,64,3828,583,3245,583,20,1,0.002456,0.178280,RANKABLE
2394,OMIM:618141,"Epileptic encephalopathy, early infantile, 67",OMIM,19,19,0,0,0,0,15,171,171,0,171,13,0,0.002455,0.018026,RANKABLE
2395,OMIM:600175,"Neuronopathy, distal hereditary motor, type VIII",OMIM,20,20,0,0,0,0,16,190,103,87,103,5,0,0.002448,0.016412,RANKABLE
2396,OMIM:617903,Neurodevelopmental disorder with poor language and loss of hand skills,OMIM,22,22,0,0,0,0,14,231,143,88,143,9,0,0.002448,0.018026,RANKABLE
2397,OMIM:259700,"Osteopetrosis, autosomal recessive 1",OMIM,34,34,0,0,0,0,24,561,138,423,138,6,0,0.002448,0.016917,RANKABLE
2398,OMIM:620167,Combined oxidative phosphorylation deficiency 57,OMIM,31,31,0,0,0,0,17,465,67,398,67,4,0,0.002447,0.017948,RANKABLE
2399,OMIM:614021,"Ventricular tachycardia, catecholaminergic polymorphic, 3",OMIM,12,12,0,0,0,0,6,66,55,11,55,2,0,0.002447,0.010481,RANKABLE
2400,OMIM:614111,Pyruvate dehydrogenase E1-beta deficiency,OMIM,6,6,0,0,0,0,6,15,4,11,4,0,0,0.002446,0.006744,RANKABLE
2401,OMIM:617600,"Intellectual developmental disorder, autosomal dominant 45",OMIM,30,30,0,0,0,0,23,435,215,220,215,15,0,0.002446,0.019513,RANKABLE
2402,OMIM:600705,Satoyoshi syndrome,OMIM,18,18,0,0,0,0,15,153,36,117,36,1,0,0.002445,0.027268,RANKABLE
2403,OMIM:619769,"Macrocephaly, neurodevelopmental delay, lymphoid hyperplasia, and persistent fetal hemoglobin",OMIM,26,26,0,0,0,0,16,325,58,267,58,3,0,0.002443,0.024440,RANKABLE
2404,ORPHA:70567,Cholangiocarcinoma,ORPHA,8,8,0,0,0,0,6,28,13,15,13,0,0,0.002443,0.004125,RANKABLE
2405,OMIM:226750,Kohlschutter-Tonz syndrome,OMIM,21,21,0,0,0,0,16,210,176,34,176,12,0,0.002442,0.019513,RANKABLE
2406,OMIM:300849,"Intellectual developmental disorder, X-linked 41",OMIM,7,7,0,0,0,0,4,21,15,6,15,0,0,0.002442,0.004372,RANKABLE
2407,ORPHA:581,Mucopolysaccharidosis type 3,ORPHA,105,105,0,0,0,0,77,5460,1001,4459,1001,48,0,0.002442,0.065307,RANKABLE
2408,OMIM:611096,"Intellectual developmental disorder, autosomal recessive 10",OMIM,3,3,0,0,0,0,2,3,3,0,3,0,0,0.002441,0.003974,RANKABLE
2409,ORPHA:83617,Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,ORPHA,53,53,0,0,0,0,26,1378,249,1129,249,10,0,0.002440,0.041507,RANKABLE
2410,OMIM:616629,Senior-Loken syndrome 9,OMIM,17,17,0,0,0,0,12,136,20,116,20,1,0,0.002438,0.010270,RANKABLE
2411,ORPHA:1454,Joubert syndrome with hepatic defect,ORPHA,48,48,0,0,0,0,31,1128,201,927,201,8,0,0.002438,0.023567,RANKABLE
2412,ORPHA:314911,Severe Canavan disease,ORPHA,34,34,0,0,0,0,20,561,181,380,181,10,0,0.002438,0.024440,RANKABLE
2413,OMIM:130700,"Emphysema, hereditary pulmonary",OMIM,3,3,0,0,0,0,1,3,3,0,3,0,0,0.002436,0.005887,RANKABLE
2414,OMIM:618718,"Neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia",OMIM,28,28,0,0,0,0,19,378,188,190,188,13,0,0.002436,0.019513,RANKABLE
2415,OMIM:618235,"Mitochondrial complex I deficiency, nuclear type 13",OMIM,27,27,0,0,0,0,23,351,107,244,107,6,0,0.002432,0.018026,RANKABLE
2416,ORPHA:500545,Severe neurodevelopmental disorder with feeding difficulties-stereotypic hand movement-bilateral cataract,ORPHA,23,23,0,0,0,0,12,253,102,151,102,6,0,0.002432,0.017948,RANKABLE
2417,ORPHA:1653,Dentin dysplasia,ORPHA,4,4,0,0,0,0,4,6,4,2,4,0,0,0.002429,0.002640,RANKABLE
2418,OMIM:613090,"Bartter syndrome, type 4B, neonatal, with sensorineural deafness",OMIM,23,23,0,0,0,0,12,253,58,195,58,1,0,0.002427,0.010172,RANKABLE
2419,ORPHA:71517,Rapid-onset dystonia-parkinsonism,ORPHA,20,20,0,0,0,0,14,190,141,49,141,1,1,0.002424,0.161060,RANKABLE
2420,OMIM:137575,"Gigantiform cementoma, familial",OMIM,3,3,0,0,0,0,1,3,3,0,3,0,0,0.002423,0.002484,RANKABLE
2421,ORPHA:269,Facioscapulohumeral dystrophy,ORPHA,37,37,0,0,0,0,20,666,170,496,170,2,1,0.002423,0.177702,RANKABLE
2422,OMIM:245010,Haim-Munk syndrome,OMIM,8,8,0,0,0,0,4,28,14,14,14,1,0,0.002421,0.014353,RANKABLE
2423,ORPHA:199296,Congenital isolated ACTH deficiency,ORPHA,10,10,0,0,0,0,4,45,7,38,7,0,0,0.002421,0.006272,RANKABLE
2424,OMIM:616271,"3-Methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia",OMIM,51,51,0,0,0,0,39,1275,258,1017,258,16,0,0.002420,0.032294,RANKABLE
2425,OMIM:310400,"Myopathy, centronuclear, X-linked",OMIM,35,35,0,0,0,0,23,595,127,468,127,1,1,0.002418,0.170872,RANKABLE
2426,ORPHA:309155,"Sandhoff disease, infantile form",ORPHA,23,23,0,0,0,0,13,253,103,150,103,7,0,0.002417,0.022393,RANKABLE
2427,OMIM:615996,Bardet-Biedl syndrome 19,OMIM,27,27,0,0,0,0,23,351,47,304,47,3,0,0.002416,0.041225,RANKABLE
2428,ORPHA:79455,Cutaneous mastocytoma,ORPHA,30,30,0,0,0,0,19,435,206,229,206,2,0,0.002415,0.033550,RANKABLE
2429,ORPHA:391428,"HSD10 disease, infantile type",ORPHA,51,51,0,0,0,0,37,1275,440,835,440,15,1,0.002412,0.179972,RANKABLE
2430,OMIM:619147,"Leukoencephalopathy, progressive, infantile-onset, with or without deafness",OMIM,35,35,0,0,0,0,21,595,120,475,120,7,0,0.002411,0.017948,RANKABLE
2431,OMIM:221740,Deafness-Oligodontia syndrome,OMIM,3,3,0,0,0,0,2,3,1,2,1,0,0,0.002411,0.002411,RANKABLE
2432,ORPHA:79323,MPDU1-CDG,ORPHA,26,26,0,0,0,0,15,325,46,279,46,3,0,0.002411,0.020098,RANKABLE
2433,ORPHA:33572,5-oxoprolinase deficiency,ORPHA,19,19,0,0,0,0,15,171,31,140,31,1,0,0.002409,0.024571,RANKABLE
2434,OMIM:231680,Multiple acyl-CoA dehydrogenation deficiency,OMIM,42,42,0,0,0,0,21,861,169,692,169,7,0,0.002408,0.018078,RANKABLE
2435,ORPHA:300536,DDOST-CDG,ORPHA,23,23,0,0,0,0,15,253,31,222,31,1,0,0.002408,0.023016,RANKABLE
2436,OMIM:182950,Spinal arachnoiditis,OMIM,3,3,0,0,0,0,3,3,1,2,1,0,0,0.002406,0.002406,RANKABLE
2437,OMIM:618285,Developmental and epileptic encephalopathy 69,OMIM,20,20,0,0,0,0,11,190,102,88,102,7,0,0.002405,0.015061,RANKABLE
2438,ORPHA:280779,Cutaneous collagenous vasculopathy,ORPHA,10,10,0,0,0,0,7,45,36,9,36,1,0,0.002405,0.032420,RANKABLE
2439,ORPHA:2369,Limb body wall complex,ORPHA,49,49,0,0,0,0,35,1176,215,961,215,2,1,0.002404,0.170872,RANKABLE
2440,OMIM:619057,Combined oxidative phosphorylation deficiency 51,OMIM,18,18,0,0,0,0,12,153,16,137,16,1,0,0.002403,0.011962,RANKABLE
2441,ORPHA:293948,1p21.3 microdeletion syndrome,ORPHA,25,25,0,0,0,0,16,300,84,216,84,5,0,0.002403,0.022125,RANKABLE
2442,OMIM:300088,"Epileptic encephalopathy, early infantile, 9",OMIM,19,19,0,0,0,0,16,171,171,0,171,15,0,0.002402,0.018026,RANKABLE
2443,ORPHA:100093,Carcinoid syndrome,ORPHA,27,27,0,0,0,0,13,351,63,288,63,2,0,0.002402,0.026571,RANKABLE
2444,ORPHA:85202,Keutel syndrome,ORPHA,24,24,0,0,0,0,13,276,45,231,45,3,0,0.002401,0.023704,RANKABLE
2445,ORPHA:2141,Diaphragmatic defect-limb deficiency-skull defect syndrome,ORPHA,16,16,0,0,0,0,14,120,79,41,79,1,0,0.002401,0.024187,RANKABLE
2446,OMIM:617571,"Ichthyosis, congenital, autosomal recessive 14",OMIM,6,6,0,0,0,0,4,15,15,0,15,0,0,0.002400,0.005739,RANKABLE
2447,ORPHA:466722,Autosomal recessive spastic paraplegia type 77,ORPHA,37,37,0,0,0,0,20,666,224,442,224,12,0,0.002397,0.023567,RANKABLE
2448,OMIM:616414,"Autoimmune interstitial lung, joint, and kidney disease",OMIM,15,15,0,0,0,0,8,105,31,74,31,1,0,0.002396,0.036531,RANKABLE
2449,OMIM:614082,"Fanconi anemia, complementation group G",OMIM,11,11,0,0,0,0,10,55,11,44,11,1,0,0.002396,0.016116,RANKABLE
2450,ORPHA:309263,"Metachromatic leukodystrophy, juvenile form",ORPHA,37,37,0,0,0,0,21,666,298,368,298,11,1,0.002396,0.151976,RANKABLE
2451,ORPHA:440437,Familial colorectal cancer Type X,ORPHA,50,50,0,0,0,0,40,1225,426,799,426,25,0,0.002396,0.027140,RANKABLE
2452,ORPHA:98977,Juvenile glaucoma,ORPHA,15,15,0,0,0,0,9,105,105,0,105,2,0,0.002395,0.026857,RANKABLE
