disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
OMIM:176250,Posterior column ataxia,OMIM,5,5,0,0,0,0,5,10,6,4,6,0,0,0.001371,0.001657,RANKABLE
OMIM:301074,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",OMIM,24,24,0,0,0,0,12,276,88,188,88,49,0,0.014494,0.045735,RANKABLE
OMIM:617393,"Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination",OMIM,26,26,0,0,0,0,17,325,152,173,152,1,0,0.001403,0.024440,RANKABLE
OMIM:308050,Congenital hemidysplasia with ichthyosiform erythroderma and limb defects,OMIM,47,47,0,0,0,0,30,1081,266,815,266,0,0,0.001634,0.002882,RANKABLE
OMIM:609813,"Spondylocostal dysostosis 3, autosomal recessive",OMIM,9,9,0,0,0,0,6,36,28,8,28,0,0,0.001772,0.008751,RANKABLE
OMIM:273390,Tetra-Amelia with ectodermal dysplasia and lacrimal duct abnormalities,OMIM,17,17,0,0,0,0,6,136,38,98,38,0,0,0.000735,0.003550,RANKABLE
OMIM:181800,"Scoliosis, idiopathic, susceptibility to, 1",OMIM,1,1,0,0,0,0,1,0,0,0,0,0,0,,,TERM_ONLY
OMIM:613693,Long QT syndrome 6,OMIM,7,7,0,0,0,0,3,21,21,0,21,0,0,0.001091,0.001481,RANKABLE
OMIM:300424,Retinitis pigmentosa 23,OMIM,11,11,0,0,0,0,6,55,55,0,55,0,0,0.001362,0.002289,RANKABLE
OMIM:613863,"Generalized epilepsy with febrile seizures plus, type 7",OMIM,5,5,0,0,0,0,5,10,10,0,10,0,0,0.001378,0.001422,RANKABLE
OMIM:605967,Acropectoral syndrome,OMIM,6,6,0,0,0,0,5,15,10,5,10,0,0,0.001670,0.001912,RANKABLE
OMIM:309400,Menkes disease,OMIM,26,26,0,0,0,0,21,325,85,240,85,3,0,0.002319,0.018026,RANKABLE
OMIM:619396,"Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 10",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:618088,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",OMIM,24,24,0,0,0,0,19,276,194,82,194,13,0,0.002266,0.018026,RANKABLE
